SlNo,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m,nearest_settlement_type,nearest_settlement_population,nearest_settlement_name,settlement_distance_m,event_date,rainfall_mm
20518,ML-7/2010,Meghalaya,Jaintia Hills,Tongseng Landslide,,25.13486111,92.38200378417967,,,22 April 2010,162,36,17,10,31.0,trunk,,NH6,8.937538898489702,hamlet,5000,Khaddum,6947.558662555351,2010-04-22,116.06999864988028
20519,ML-8/2010,Meghalaya,Jaintia Hills,Sonapur,,25.12383333,92.38519444,,,22 April 2010,93,47,101,10,29.0,trunk,,NH6,32.6223489534778,hamlet,5000,Khaddum,7158.639864625393,2010-04-22,116.06999864988028
20520,ML-9/2010,Meghalaya,Jaintia Hills,Kulyng Slide,,25.07533333,92.36341667,,,22 April 2010,156,25,147,50,30.0,trunk,,NH6,12.15173307109374,hamlet,0,Miklipārā,7223.949563939361,2010-04-22,99.29999758675694
19577,ML-93/2011,Manipur,West Khasi Hills,Riangdo Landslide,,25.67341667,91.06625366210938,,Nil,Second week of May 2011,940,16,60,50,29.0,unclassified,,,16.029335427311263,town,0,Mawshynrut,1400.444590461604,,
19578,ML-94/2011,Manipur,Ri-Bhoi,Umsaw Khwan slide,,25.67469444,91.88652778,,Nil,26 June 2011,1062,5,180,50,28.0,residential,,,25.80786815156416,village,0,Sumer Village,2808.5050241110303,2011-06-26,8.669999837875366
19582,MN-10/2010,Manipur,Tamenglong,None slide,,24.86469444,93.62116667,,Nil,08 June 2010,350,9,174,10,30.0,trunk,,NH37,17.64678868813361,town,0,Noney,585.147922532716,2010-06-08,48.559999075718224
19583,MN-11/2010,Manipur,Tamenglong,Khumji slide,,24.86297222,93.62397222,,Nil,08 June 2010,344,21,127,50,29.0,tertiary,,,0.6845831461180976,town,0,Noney,340.27080992239763,2010-06-08,48.559999075718224
19584,MN-12/2010,Manipur,Tamenglong,Khoupum slide,,24.73133333,93.92738889,,Nil,28 March 2010,784,8,123,50,36.0,residential,,,15.937060652762112,village,0,Lilong Chajing,1659.5762501141248,2010-03-28,37.664999461732805
19579,MN-7/2010,Manipur,Tamenglong,Irang slide,,24.82908333,93.50694444,,Nil,1st week of June 2010,360,23,236,10,30.0,trunk,,NH37,10.357538796828212,village,0,,2118.3334010922613,,
19580,MN-8/2010,Manipur,Tamenglong,Irang slide,,24.84563889,93.50202778,,Nil,1st week of June 2010,355,20,183,10,29.0,trunk,,NH37,145.23398100852395,village,0,Irang Khun,824.3352203584316,,
19581,MN-9/2010,Manipur,Tamenglong,Lukhambi slide,,24.86461111,93.59888889,,Nil,1st week of June 2010,414,20,95,30,29.0,trunk,,NH37,62.239439678021085,village,0,Rangkhung Part 1,1034.4398126620474,,
23972,MZ-27/2010-12,Mizoram,MAMIT,Mamit landsinking,,23.92322222,92.49222222,,,June 2010,852,20,95,50,29.0,unclassified,,,45.29554633302936,town,0,Mamit,810.5484924828025,,
23973,MZ-28/2010-12,Mizoram,CHHITUIPUI,College Veng landsinking,,22.49086111,92.98086111,,,June 2010,1060,18,328,50,29.0,residential,,,7.80376408000079,town,5000,Siaha,106.3947715878516,,
23974,MZ-29/2010-12,Mizoram,CHHITUIPUI,Council Veng landsinking,,22.48541667,92.98238889,,,June 2010,1048,21,309,10,33.0,unclassified,,,37.29232859910715,town,5000,Siaha,516.9332110205593,,
23975,MZ-30/2011,Mizoram,CHAMPHAI,Ngopa landsinking,,23.88591667,93.20961111,,,3rd and 6th October 2010,1200,29,251,30,30.0,residential,,,63.06987288411586,village,0,Ngopa,187.19434060519305,,
23976,MZ-31/2011,Mizoram,Aizawl,Naizawl rock fall,,23.70213889,92.71822222,,,22 May 2011,1076,41,43,30,30.0,primary,MG Road,,8.356626243334318,city,291822,Aizawl,2836.9754087712913,2011-05-22,0.6499999882653356
24968,NAG/KIPH/83K13/2009/F-7,Nagaland,Tuensang,Kesunisiki slide,,25.899999618530273,94.78916931152344,,Slide,21 June 2009,1047,25,51,10,34.0,trunk,,NH202,356.9689969517754,town,0,Kiphire,1497.0157091074525,2009-06-21,25.609999671578407
24950,NAG/KIPH/83K13/2009/F-8,Nagaland,Tuensang,Mission compound slide,,25.886669158935547,94.78639221191406,,Flow,21 June 2009,1176,4,228,50,32.0,trunk,,NH202,80.93789299287833,town,0,Kiphire,8.038706319335386,2009-06-21,25.609999671578407
24589,NAG/KOH/83K02/2008/F-2,Nagaland,Kohima,Kohima slide,,25.686670303344727,94.06360626220705,,Slide,02.08.2008,1064,12,10,10,27.0,trunk,,NH29,137.3575662152677,village,0,Jotsoma,1387.4810569078788,,
25434,NAG/TUE/83J11/2009/F-9,Nagaland,Tuensang,Sangdok slide,,26.270280838012695,94.75,,,"21 June,2009",1446,25,51,10,31.0,unclassified,,,298.8797490612461,town,0,Tuensang,7316.124197121848,,
25487,NAG/TUE/83J15/2009/F-14,Nagaland,Tuensang,Ajang (Bhumbak Village),,26.34416961669922,94.83332824707033,,Slide,20 June 2009,1746,11,228,10,29.0,unclassified,,,150.5706204733679,village,0,Halchang,5627.660399813505,2009-06-20,48.75999940931797
25970,NL-01/2012-13,Nagaland,Tuensang,Police line slide,,26.22633333,94.81302778,,,22 June 2012 at 20:30 Hrs.,1676,14,343,10,29.0,unclassified,,,13.060336270032762,town,0,Tuensang,1449.665933697525,2012-06-22,81.68999805022031
25971,NL-02/2012-13,Nagaland,Tuensang,Jail colony slide,,26.22480556,94.81236111,,NIL,03 July 2012 at 14:00 hrs.,1750,20,54,10,30.0,unclassified,,,18.78291066582189,town,0,Tuensang,1626.1301244334932,2012-07-03,15.784999545663595
25972,NL-03/2012-13,Nagaland,Tuensang,Hakchang slide,,26.26336111,94.81563889,,NIL,30 June 2012 at 22:30 Hrs.,1293,13,29,50,29.0,trunk,,NH702B,14.511174974796482,town,0,Tuensang,2663.9878201704373,2012-06-30,17.929999466985464
25973,NL-04/2012-13,Nagaland,Tuensang,Kuthur Slide,,26.18302778,94.81619444,,NIL,25 May 2012 at 05:00 Hrs.,1941,16,70,10,32.0,trunk,,NH202,222.8700664778256,village,0,Kuthur,809.89486489191,2012-05-25,0.1499999947845935
25974,NL-05/2012-13,Nagaland,Tuensang,Chare slide,,26.28908333,94.61005556,,NIL,15June 2012 at 22:00 Hrs.,983,20,257,10,29.0,trunk,Tuensang Road,NH202,213.86617349836152,village,0,Chare,1684.396701150061,,
25975,NL-06/2012-13,Nagaland,Kohima,KMC slide,,25.68002778,94.07266667,,NIL,29 July 2012 at 06:00 Hrs.,1265,20,312,10,26.0,trunk,,NH29,220.34520006221712,village,0,Jotsoma,1217.7042583392258,2012-07-29,3.614999882876873
25976,NL-07/2012-13,Nagaland,Kohima,D-Block colony slide,,25.67005556,94.11299896240234,,NIL,31 July 2012 at 23:00 Hrs.,1341,8,7,10,34.0,unclassified,,,60.99543757290192,city,115283,Kohima,1434.7244126040566,2012-07-31,3.754999900236726
25977,NL-08/2012-13,Nagaland,Kohima,Chakhabama slide (A),,25.68436111,94.20497222,,NIL,06 August 2012 at 22:00 Hrs.,919,29,153,50,34.0,primary,,,11.862876212760254,village,0,Chakhabama,1754.0381160533266,2012-08-06,33.92999925184995
