system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,slope_deg,.geo
00000000000000002862,CHHITUIPUI,June 2010,22.48541667,92.98238889,,,,23974,Council Veng landsinking,MZ-29/2010-12,Mizoram,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002863,CHAMPHAI,3rd and 6th October 2010,23.88591667,93.20961111,,,,23975,Ngopa landsinking,MZ-30/2011,Mizoram,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002864,Aizawl,22 May 2011,23.70213889,92.71822222,,,,23976,Naizawl rock fall,MZ-31/2011,Mizoram,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002d73,Tuensang,21 June 2009,25.899999618530273,94.78916931152344,,Slide,,24968,Kesunisiki slide,NAG/KIPH/83K13/2009/F-7,Nagaland,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002d5e,Tuensang,21 June 2009,25.886669158935547,94.78639221191406,,Flow,,24950,Mission compound slide,NAG/KIPH/83K13/2009/F-8,Nagaland,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002bd2,Kohima,02.08.2008,25.686670303344727,94.06360626220703,,Slide,,24589,Kohima slide,NAG/KOH/83K02/2008/F-2,Nagaland,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f8c,Tuensang,"21 June,2009",26.270280838012695,94.75,,,,25434,Sangdok slide,NAG/TUE/83J11/2009/F-9,Nagaland,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002fc8,Tuensang,20 June 2009,26.34416961669922,94.83332824707031,,Slide,,25487,Ajang (Bhumbak Village),NAG/TUE/83J15/2009/F-14,Nagaland,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000320d,Tuensang,22 June 2012 at 20:30 Hrs.,26.22633333,94.81302778,,,,25970,Police line slide,NL-01/2012-13,Nagaland,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000320e,Tuensang,03 July 2012 at 14:00 hrs.,26.22480556,94.81236111,,NIL,,25971,Jail colony slide,NL-02/2012-13,Nagaland,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
