system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
0000000000000000169e,Ri-Bhoi,26 July 2012 at 5AM,26.00361111,92.86361111,,,,20534,19th Mile slide,ML-11/2012-13,Meghalaya,77,"{""type"":""MultiPoint"",""coordinates"":[]}",67498,938020564,residential,,,40.69072062350191
00000000000000001693,Jaintia Hills,22 April 2010,25.04222222,92.44127778,,,,20523,Ratachera Slide,ML-12/2010,Meghalaya,281,"{""type"":""MultiPoint"",""coordinates"":[]}",26620,566110583,trunk,,NH6,5.506787063270391
0000000000000000169f,West Khasi Hills,21 August 2012 at 10:30am,25.53086111,91.29780556,,,,20535,Porsohsat slide,ML-13/2012-13,Meghalaya,1465,"{""type"":""MultiPoint"",""coordinates"":[]}",12969,462989838,trunk,,NH106,116.90117769763675
00000000000000001688,East Khasi Hills,28 June 2010,25.56183333,91.86855556,,,,20512,Meghalaya Police's C.I.D Quarters,ML-2/2010,Meghalaya,1546,"{""type"":""MultiPoint"",""coordinates"":[]}",100818,1052054959,residential,,,4.461516977246604
00000000000000001689,East Khasi Hills,28 June 2010,25.57188889,91.90127778,,,,20513,Lumsohra,ML-3/2010,Meghalaya,1520,"{""type"":""MultiPoint"",""coordinates"":[]}",74042,990290810,residential,,,6.267129163782653
0000000000000000168a,East Khasi Hills,28 June 2010,25.56852778,91.89219444,,,,20514,CathedralChurch,ML-4/2010,Meghalaya,1532,"{""type"":""MultiPoint"",""coordinates"":[]}",68247,962613427,footway,,,0.032399682515831044
0000000000000000168b,Jaintia Hills,11th and 12th May 2010,25.13561111,92.38050079345705,,,,20515,Tongseng Landslide,ML-5A/2010,Meghalaya,178,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,13.986783924983527
0000000000000000168c,Jaintia Hills,11th and 12th May 2010,25.13561111,92.38050079345705,,,,20516,Tongseng Landslide,ML-5B/2010,Meghalaya,178,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,13.986783924983527
0000000000000000168d,Jaintia Hills,22 April 2010,25.13561111,92.38050079345705,,,,20517,Tongseng Landslide,ML-6/2010,Meghalaya,178,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,13.986783924983527
0000000000000000168e,Jaintia Hills,22 April 2010,25.13486111,92.38200378417967,,,,20518,Tongseng Landslide,ML-7/2010,Meghalaya,162,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,8.937538898489702
0000000000000000168f,Jaintia Hills,22 April 2010,25.12383333,92.38519444,,,,20519,Sonapur,ML-8/2010,Meghalaya,93,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,32.6223489534778
00000000000000001690,Jaintia Hills,22 April 2010,25.07533333,92.36341667,,,,20520,Kulyng Slide,ML-9/2010,Meghalaya,156,"{""type"":""MultiPoint"",""coordinates"":[]}",53780,741589137,trunk,,NH6,12.151733071093739
00000000000000001234,West Khasi Hills,Second week of May 2011,25.67341667,91.06625366210938,,Nil,,19577,Riangdo Landslide,ML-93/2011,Manipur,940,"{""type"":""MultiPoint"",""coordinates"":[]}",15969,507910630,unclassified,,,16.029335427311263
00000000000000001235,Ri-Bhoi,26 June 2011,25.67469444,91.88652778,,Nil,,19578,Umsaw Khwan slide,ML-94/2011,Manipur,1062,"{""type"":""MultiPoint"",""coordinates"":[]}",98484,1051982606,residential,,,25.807868151564158
00000000000000001239,Tamenglong,08 June 2010,24.86469444,93.62116667,,Nil,,19582,None slide,MN-10/2010,Manipur,350,"{""type"":""MultiPoint"",""coordinates"":[]}",302,44884966,trunk,,NH37,17.64678868813361
0000000000000000123a,Tamenglong,08 June 2010,24.86297222,93.62397222,,Nil,,19583,Khumji slide,MN-11/2010,Manipur,344,"{""type"":""MultiPoint"",""coordinates"":[]}",10573,389627403,tertiary,,,0.6845831461180976
0000000000000000123b,Tamenglong,28 March 2010,24.73133333,93.92738889,,Nil,,19584,Khoupum slide,MN-12/2010,Manipur,784,"{""type"":""MultiPoint"",""coordinates"":[]}",110726,1052921425,residential,,,15.937060652762113
00000000000000001236,Tamenglong,1st week of June 2010,24.82908333,93.50694444,,Nil,,19579,Irang slide,MN-7/2010,Manipur,360,"{""type"":""MultiPoint"",""coordinates"":[]}",11436,417716460,trunk,,NH37,10.357538796828212
