sample_id,settlement_distance_m
452,4862.985171384053
453,1570.294947566297
454,12558.503185205476
455,9565.80271975588
456,6837.752803525773
457,7724.78814611635
458,8760.763909386758
459,9943.657338711955
460,2907.5698102946585
461,4789.1949131670735
462,19258.14029023528
463,11011.867423060768
464,1714.7638464706147
465,14606.54396941027
466,13175.786938261861
467,10507.367734351274
468,5428.321381281151
469,847.4990079970112
470,283.4993188736943
471,3682.3075683774305
472,3561.5800851569206
473,6724.593774592332
474,12481.762010212995
475,13810.885062113366
476,7502.579208251418
477,1324.472670176461
478,1692.3668996154256
479,2969.6122903178407
480,6941.338038505564
481,11013.39386250507
482,14788.292728465405
483,2044.35073553126
484,11642.742949498235
485,5815.783009105185
486,22203.24095243429
487,2146.2028494642714
488,8618.84754043932
489,9506.412996055134
490,13794.59112470957
491,2193.530559442193
492,3120.2489361322555
493,2980.745286221712
494,14301.252194018447
495,5142.655687775583
496,2649.8288302339934
497,6436.053407313349
498,14446.758783209354
499,9837.344956728948
500,3737.7413565940446
501,1274.9277730671633
502,4524.642910324961
503,614.5220634996956
504,4116.660307874333
505,13183.959811517094
506,1744.3044673736329
507,2398.2736767101364
508,12068.936096469628
509,10200.542461872301
510,17188.28623873573
511,4439.755255392488
512,1230.743017318716
513,12637.457726490737
514,26617.11124677602
515,410.19622833315196
516,33000.18143171942
517,10683.434781180495
518,2341.0753702937504
519,5859.622012937602
520,10730.334063579212
521,10142.799953206442
522,2791.5841885261625
523,17355.419939693074
524,9431.480117388475
525,5499.708842782633
526,590.8347935305334
527,3087.644567516237
528,10888.762293568434
529,6585.308315991046
530,2345.9025640974173
531,1148.5055860018288
532,15820.60481213395
533,3930.2881976508334
534,9019.17740854993
535,9010.5545855478
536,4135.452859995625
537,721.7071964860472
538,13620.820458847262
539,3616.7804959211153
540,8300.071724134035
541,3071.652776442573
542,6534.792634647902
543,5766.839921545196
544,14443.0119051637
545,21331.676618651552
546,2199.3405696711056
547,6893.968780263991
548,7148.597515562046
549,11072.530325384754
550,16012.497930803838
551,820.1881273193884
552,4869.527759229629
553,3905.374076688535
554,7607.341299857906
555,2391.5532923133683
556,2395.277843491789
557,3376.5214542698686
558,31469.842706660173
559,3990.0933060419516
560,3525.753611453763
561,17023.23055875957
562,4976.649960613479
563,5876.083043247149
564,6094.123131034159
565,6079.115018215221
566,24546.788731839795
567,10199.017468747983
568,1817.6763103167189
569,14653.649149046909
570,5729.37777776253
571,20233.17867271863
572,6079.985523951862
573,7680.1628173457375
574,4738.428833650953
575,14990.996965836935
576,11975.851648618534
577,14119.27286469327
578,4925.984799327297
579,6037.5626359950475
580,14295.290045604916
581,2550.080378105502
582,10000.32562947071
583,2094.9004711841567
584,14429.539926639221
585,15856.418385961695
586,4936.423745952586
587,7589.616285482912
588,5072.020909882118
589,26775.26066149344
590,9314.119727996374
591,3888.5408965609304
592,1209.3746396184972
593,8942.905398772224
594,15489.308866601454
595,3820.462164866549
596,8142.782511220173
597,843.4658330805074
598,6893.399602143097
599,6457.399212343246
600,9068.251295911026
601,10497.83267594072
602,8107.072707389465
603,4364.727001748336
604,4297.03112049324
605,8088.973090795984
606,7969.15029462772
607,15891.071976980435
608,31004.9696594344
609,1106.6527567908051
610,17762.813262020787
611,5241.874757437898
612,20378.51376575032
613,12261.920983382668
614,2919.0790280302426
615,11910.643126192901
616,6154.228851161418
617,7996.0348621578305
618,11711.602859488521
619,2113.2550939848215
620,19671.76196460783
621,7272.884571598735
622,6749.02137381803
623,658.8966390029342
624,13614.280850093459
625,20150.671773578364
626,193.9440723594988
627,10403.441695724448
628,552.2020264061168
629,31363.587082090893
630,1044.6493671188593
631,8234.018518412404
632,14551.092733919106
633,5517.559180791969
634,15452.433316808581
635,2937.7500256207004
636,4742.172733996477
637,4237.552988768157
638,2880.361436808302
639,1003.5330618982442
640,1845.944985811723
641,4588.774086414799
642,2437.4045329296714
643,7320.813975009526
644,4374.321697533393
645,1579.744197179678
646,2414.137594345053
647,9577.605231132495
648,2411.874829577248
649,4779.065065177873
650,10746.747089362541
651,3435.062467624377
652,1664.6383285028724
653,11295.131701485203
654,2004.3606874239338
655,20692.159199487396
656,4366.567967793201
657,2191.681789180187
658,5274.716740528103
659,20824.045463270624
660,4789.724152289401
661,1028.9555423329473
662,15745.582082224571
663,8565.238192522753
664,1797.7157575942636
665,10212.793365351647
666,27626.118353236907
667,5271.920081760698
668,5191.538593750755
669,5331.82538753097
670,6874.896540571223
671,2835.827695414584
672,5030.08276638419
673,4264.226208486256
674,6430.051603314522
675,17074.30183797482
676,4944.711651744354
677,1990.3266741279276
678,5971.464497674738
679,5981.357279335538
680,5155.355473597441
681,1577.26367051917
682,20222.799724737128
683,4467.494268527162
684,15703.198962804638
685,1827.1048959432726
686,10126.023357175787
687,1122.6251294374874
688,7540.249972111117
689,6574.522375412568
690,2844.7788653279986
691,17381.23408229079
692,685.4667303298819
693,13420.895966100165
694,2952.9349202196113
695,1788.308423661692
696,6496.784387555839
697,23730.0221005008
698,4241.740896348846
699,2868.2614889931415
700,6791.662702621688
701,3200.6148158248952
702,17772.96123105865
703,11878.578717338527
704,9863.673586397033
705,1550.0054064446924
706,3123.535669011899
707,1857.5424897773378
708,7551.512535789406
709,8333.895565438012
710,3051.6269284997843
711,6305.081067002239
712,7902.610765325127
713,2461.8170921524743
714,8749.499228893446
715,3187.4415792941145
716,17268.222427867844
717,5758.311709513529
718,2512.943339496243
719,6369.8503158702515
720,6152.0104035205795
721,531.9164392334628
722,1960.5001214007466
723,11516.130131254244
724,2856.295280172592
725,33411.32838486945
726,9047.26984384806
727,8493.394104965613
728,19203.69514499654
729,9000.993417142341
730,1689.1104626653166
731,4331.315271154552
732,3232.2454712769627
733,14937.387902663637
734,9643.862002346505
735,4289.369479153286
736,3286.702268777937
737,14335.616404986864
738,1180.4420202006668
739,10834.852816769084
740,12499.292469748101
741,8093.920692251903
742,16656.599221047774
743,6918.266307295923
744,5781.35731161833
745,6426.34538108286
746,1200.0234128283114
747,5257.325545560943
748,2375.0538110839793
749,1681.2284419133114
750,5966.255756594379
751,6906.9453856427635
752,5123.866046280257
753,898.0349921716831
754,6524.043103456692
755,2720.0807330757953
756,3387.0542905340303
757,12258.241036834735
758,6437.940008982654
759,2932.304533964014
760,7827.252950052181
761,17410.793613513262
762,8784.834472143362
763,2025.2365986017335
764,10455.45206311651
765,12432.939888220819
766,4348.146013867414
767,1562.9649805148185
768,2888.5298690184245
769,8047.644337361275
770,4644.730145259896
771,12720.792702743085
772,4791.07501102247
773,19556.743373479807
774,2578.7541912149463
775,5276.785777428737
776,3133.4352797242877
777,14064.235812065654
778,32012.04943732829
779,5782.1772334071375
780,12869.446632774205
781,12306.225801458042
