system:index,aspect_deg,clay_surface_pct,elevation_m,label,lulc_class,sample_id,sample_type,slope_deg,state,.geo
00000000000000000037_0,122,18,5531,0,70,56,background,17,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.74603326513073,28.044683697254598]}"
00000000000000000038_0,152,27,2245,0,10,57,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.17641611775241,27.378223587966325]}"
00000000000000000039_0,99,23,1226,0,10,58,background,27,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.64974301523682,27.886759870306385]}"
0000000000000000003a_0,64,26,879,0,10,59,background,13,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.50036233205145,27.336721421840004]}"
0000000000000000003b_0,347,24,1383,0,10,60,background,42,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.1692341697613,27.679518534260012]}"
0000000000000000003c_0,79,18,3175,0,10,61,background,38,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.53898074070491,28.747525575549712]}"
0000000000000000003d_0,7,15,4146,0,30,62,background,17,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.25125492948325,29.084663301679768]}"
0000000000000000003e_0,104,17,3162,0,10,63,background,36,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.57447334299133,28.345170159792577]}"
0000000000000000003f_0,153,30,358,0,10,64,background,9,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06574824903072,27.420264743263118]}"
00000000000000000040_0,255,21,1236,0,10,65,background,20,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.13267731197948,28.84319615330844]}"
00000000000000000041_0,87,26,1096,0,10,66,background,32,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.56000131835327,28.175658065679226]}"
