system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
000000000000000001be,Kamrup,26.166160583496097,91.713803,802,Assam,2025-05-28,228.16499599069357,27.45499997306615,50.16499966196716,91.12999882828444,"{""type"":""Point"",""coordinates"":[91.713803,26.166160583496097]}"
00000000000000000088,Kamrup (Metro),26.191600799560547,91.8036117553711,776,Assam,2022-06-09,174.18249545618892,52.09499870240688,77.17499811202288,120.77999722585082,"{""type"":""Point"",""coordinates"":[91.8036117553711,26.19160079956054]}"
0000000000000000008a,Kamrup (Metro),26.15805556,91.71258333,731,Assam,2019-07-09,378.3904900178313,112.48999746609479,153.60499667096883,198.59499571751803,"{""type"":""Point"",""coordinates"":[91.71258333,26.15805556]}"
0000000000000000008b,Kamrup (Metro),26.19236111,91.78080556,730,Assam,2019-07-03,250.6854927027598,16.03499973937869,90.0004968456924,193.6054941052571,"{""type"":""Point"",""coordinates"":[91.78080556,26.19236111]}"
0000000000000000008c,Kamrup (Metro),26.19330556,91.77725219726562,773,Assam,2020-06-21,293.46999303717166,16.97499981429428,49.20999907609075,106.56999784242362,"{""type"":""Point"",""coordinates"":[91.77725219726562,26.19330556]}"
000000000000000001bc,Kamrup (Metro),26.1505375,91.72798139,488,Assam,2023-06-10,131.06099669542164,56.56499842554331,85.2649977458641,85.62999772559851,"{""type"":""Point"",""coordinates"":[91.72798139,26.1505375]}"
000000000000000001c0,Kamrup (Metro),26.19622039794922,91.76335906982422,519,Assam,2011-03-16,30.08599862176925,0.14999999105930328,0.14999999105930328,29.909998611547053,"{""type"":""Point"",""coordinates"":[91.76335906982422,26.196220397949215]}"
000000000000000001c5,Kamrup (Metro),26.193220138549805,91.77033233642578,777,Assam,2022-06-09,154.37049631867558,49.92999882157892,78.26499785389751,117.11499660369009,"{""type"":""Point"",""coordinates"":[91.77033233642578,26.1932201385498]}"
000000000000000001c7,Kamrup (Metro),26.19244444,91.76422222,729,Assam,2016-07-13,306.51949472539127,7.779999935999513,22.54999954625964,152.83499775547534,"{""type"":""Point"",""coordinates"":[91.76422222,26.19244444]}"
000000000000000001c8,Kamrup (Metro),26.09150556,91.87898611,774,Assam,2020-07-05,394.74049183912575,64.48499849997461,97.33999823965132,132.23549772240222,"{""type"":""Point"",""coordinates"":[91.87898611,26.09150556]}"
000000000000000001cb,Kamrup (Metro),26.188419342041016,91.85124969482422,506,Assam,2017-06-09,150.44799645617604,12.659999464638531,12.784999464638531,29.63999927509576,"{""type"":""Point"",""coordinates"":[91.85124969482422,26.188419342041016]}"
00000000000000000214,Kamrup (Metro),26.21305556,91.69249725341795,775,Assam,2020-06-19,424.6899905866012,45.12999911606312,132.5449969433248,191.77999547496438,"{""type"":""Point"",""coordinates"":[91.69249725341795,26.21305556]}"
0000000000000000025d,Kamrup (Metro),26.23801612854004,91.945953,843,Assam,2025-10-26,10.63499991223216,0.0,0.7499999962747097,0.7499999962747097,"{""type"":""Point"",""coordinates"":[91.945953,26.23801612854004]}"
