sample_id,road_distance_m
320,2038.8772450973952
321,5024.805877706398
322,5755.276426097409
323,10590.668443856483
324,8801.100706244888
325,395.3713788537207
326,949.8918684987011
327,5304.030559234044
328,3277.5314267656013
329,21591.660617558526
330,1953.874237756634
331,6666.015906072448
332,2998.342517454916
333,3104.120728354984
334,9987.608723882628
335,342.6374533251169
336,9.679124388809685
337,120.99312373358408
338,6415.816344040728
339,9592.069612516352
340,9707.483049251128
341,8789.838692543013
342,7042.6816153030695
343,3841.600343678088
344,1480.1655262458123
345,1454.509534674778
346,7086.176014510664
347,22839.09206409828
348,414.46379764590296
349,12339.513927047856
350,13187.10994467527
351,12045.556736188933
352,4242.993866924882
353,9021.483856208723
354,6295.730352674072
355,13070.167032879737
356,8082.5332092671415
357,8195.56609638805
358,1579.4427960293765
359,2562.4115779716144
360,1542.3561005094864
361,749.4488501600857
362,9548.80649709077
363,1728.8397897942536
364,2914.5832491682813
365,1292.0869400527524
366,580.8700775129438
367,2352.8461311760384
368,10931.402876578497
369,7091.6818136400325
370,5033.983201378631
371,11765.260391805028
372,2697.6972958806477
373,25.613460524289103
374,13546.22135850187
375,1852.7181018360707
376,1342.952669898628
377,1141.927126608726
378,4558.69310119085
379,3008.9727273507783
380,13726.783472154915
381,16673.347203192436
382,5394.573939926782
383,18.654907263059297
384,8420.733498714155
385,1596.4870621344892
386,805.9764026059363
387,46.900208519344034
388,4108.499952696886
389,3713.766123630082
390,2924.0245518022525
391,24588.618317417335
392,1090.1494888024647
393,3146.147524703143
394,7197.78964798115
395,12020.644825281903
396,429.032389418317
397,2895.644810647646
398,7152.675634304639
399,5744.770091474143
400,1583.2711149432726
401,12984.333448044707
402,17561.537084437292
403,3282.1250689120734
404,4938.510240704894
405,11382.206718481568
406,4941.7165940978375
407,2743.7007338858803
408,178.96087906361552
409,7497.941361462188
410,3175.357625105054
411,23748.095377896956
412,5897.049168830564
413,7462.901320877395
414,18876.811478280604
415,16966.571869364943
416,9168.074694090907
