system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
00000000000000000200,Kamrup (Metro),26.188419342041016,91.85124969482422,506,Assam,2017-06-16,264.37799346260726,90.44999764859676,151.99999614059925,240.0099938446656,"{""type"":""Point"",""coordinates"":[91.85124969482422,26.188419342041016]}"
00000000000000000250,Kamrup (Metro),26.21305556,91.69249725341795,775,Assam,2020-06-26,433.12998960446566,117.14499678928405,152.93499588221312,183.3199951685965,"{""type"":""Point"",""coordinates"":[91.69249725341795,26.21305556]}"
0000000000000000029e,Kamrup (Metro),26.23801612854004,91.945953,843,Assam,2025-11-02,35.29999943077564,22.484999734908342,31.134999502450228,34.54999943450093,"{""type"":""Point"",""coordinates"":[91.945953,26.23801612854004]}"
000000000000000002a2,Kamrup (Metro),26.156633377075195,91.9385757446289,856,Assam,2024-08-08,224.0899945879355,90.41999783739448,113.5699972063303,173.1349958833307,"{""type"":""Point"",""coordinates"":[91.9385757446289,26.156633377075195]}"
0000000000000000006e,Karimganj,24.710832595825195,92.481167,35,Assam,2010-06-03,423.17548787686974,121.45999657083303,183.19549508858472,206.51549446489662,"{""type"":""Point"",""coordinates"":[92.48116700000001,24.710832595825195]}"
000000000000000001fe,Karimganj,24.78002778,92.45372222,38,Assam,2020-06-02,362.46599170193076,115.31099783815444,154.925996998325,300.625993385911,"{""type"":""Point"",""coordinates"":[92.45372222,24.78002778]}"
000000000000000001ff,Karimganj,24.78380556,92.45563889,39,Assam,2020-06-02,362.46599170193076,115.31099783815444,154.925996998325,300.625993385911,"{""type"":""Point"",""coordinates"":[92.45563889,24.783805560000005]}"
00000000000000000298,Udalguri,26.89073944091797,92.12068176269533,590,Assam,2021-04-28,27.49999929778278,7.574999857693911,7.574999857693911,7.904999848455191,"{""type"":""Point"",""coordinates"":[92.12068176269533,26.89073944091797]}"
00000000000000000299,Udalguri,26.88969039916992,92.1226577758789,589,Assam,2021-04-28,27.49999929778278,7.574999857693911,7.574999857693911,7.904999848455191,"{""type"":""Point"",""coordinates"":[92.1226577758789,26.889690399169922]}"
000000000000000002a1,West Khasi Hills,25.740148,91.224044,852,Assam,2014-07-18,191.2949956478551,3.339999858289957,20.124999444931746,61.399998375214636,"{""type"":""Point"",""coordinates"":[91.224044,25.740148]}"
00000000000000000006,Kamrup,26.10891667,91.74175262451172,794,Assam,2012-06-22,353.29499141778797,55.29499857965857,109.29499693308026,186.65499512199312,"{""type"":""Point"",""coordinates"":[91.74175262451172,26.108916669999996]}"
0000000000000000000a,Kamrup,26.16405556,91.72827778,798,Assam,2012-06-26,525.3649884052575,99.06499808002263,226.67499582562596,335.9699927587062,"{""type"":""Point"",""coordinates"":[91.72827778000001,26.164055559999998]}"
