SlNo,State,District,event_date,susceptibility_probability,rainfall_probability
20580,Meghalaya,South Garo Hills,2022-06-17,0.82,0.9959199529879167
20577,Meghalaya,South Garo Hills,2022-06-17,0.9566666666666667,0.9911131080997767
19995,Meghalaya,East Jaintia Hills,2024-05-28,0.8266666666666667,0.4817734727807854
20607,Meghalaya,East Khasi Hills,2024-05-28,1.0,0.7591435495015776
20605,Meghalaya,East Khasi Hills,2024-05-28,0.9666666666666667,0.768109938831411
20606,Meghalaya,East Khasi Hills,2024-05-28,0.9733333333333334,0.7288722095861608
20600,Meghalaya,East Khasi Hills,2024-05-28,0.9266666666666666,0.8358510255154319
20601,Meghalaya,East Khasi Hills,2024-05-28,0.9,0.8358510255154319
20599,Meghalaya,East Khasi Hills,2024-05-28,0.99,0.8358510255154319
20644,Meghalaya,Eastern-West Khasi Hill,2024-05-28,0.9966666666666667,0.806428903982314
20645,Meghalaya,Eastern-West Khasi Hill,2024-05-28,1.0,0.806428903982314
20594,Meghalaya,South West Khasi Hills,2024-05-28,0.7533333333333333,0.7342970842267481
20596,Meghalaya,South West Khasi Hills,2024-05-28,0.85,0.8130207447043957
20593,Meghalaya,Eastern-West Khasi Hill,2024-06-28,0.9866666666666667,0.5199729224860155
20625,Meghalaya,Ri-Bhoi,2024-06-30,0.9733333333333334,0.9117962461098756
20616,Meghalaya,Ri-Bhoi,2024-06-30,0.9933333333333333,0.928788442478755
20624,Meghalaya,Ri-Bhoi,2024-06-30,0.9233333333333333,0.9117962461098756
20619,Meghalaya,Ri-Bhoi,2024-06-30,1.0,0.928788442478755
20603,Meghalaya,East Khasi Hills,2024-07-02,1.0,0.9745237374177923
20604,Meghalaya,East Khasi Hills,2024-07-02,1.0,0.9745237374177923
20602,Meghalaya,East Khasi Hills,2024-07-02,0.9766666666666667,0.9745237374177923
20597,Meghalaya,West Khasi Hills,2024-07-02,0.9966666666666667,0.9689137889046777
20630,Meghalaya,West Khasi Hills,2024-07-02,0.89,0.9091195578501666
20632,Meghalaya,West Khasi Hills,2024-07-02,0.9866666666666667,0.9091195578501666
20598,Meghalaya,West Khasi Hills,2024-07-02,0.99,0.9770380836925604
20631,Meghalaya,West Khasi Hills,2024-07-02,0.9666666666666667,0.9091195578501666
20633,Meghalaya,Eastern-West Khasi Hill,2025-05-29,0.8333333333333334,0.5862798131583219
20618,Meghalaya,East Khasi Hills,2025-05-30,0.9633333333333334,0.72198008902674
